Root,Akkadian_Terms
rqʾ,"raqû(m); ruqqû"
rqb,raqābu
rqd,raqādu(m)
rqq,raqāqu(m)
rsʾ,russû(m)
rsb,rasābu(m)
rsn,rasānu(m)
rsp,rasābu(m)
rṣʾ,raṣûm
rṣd,raṣādu(m)
rṣn,"rasānu(m); raṣānu(m) I"
rṣp,raṣāpu
ršʾ,"rašû(m) I.II.III; ruššû(m) II"
ršb,"rasābu(m); rašābu(m) I"
ršd,rašādu
ršk,rašāku(m)
ršš,rašāšu
rtʾ,retû(m) II
rtḫ,ruttuḫu
rtm,ratāmu
rtt,ratātu
rṭʾ,retû(m) II
rṭb,raṭābu(m)
rṭp,raṭāpu(m)
rzʾ,razû
rwʾ,reʾû(m)
ryʾ,reʾû(m)
sʾʾ,"sâʾu; seʾû"
sʾb,"saʾābu; sâbu(m)"
sʾd,"sâdu(m); sêdu"
sʾk,sâku(m)
